session,amplitude,location,response_location,reaction_time
3,3.12,0,0,0.2684
3,3.12,13,13,0.6901
3,3.12,0,0,0.359
4,3.12,6,0,0.3383
4,3.12,16,0,0.3086
4,3.12,6,0,0.3036
4,3.12,0,0,0.3052
4,3.12,0,0,0.2944
4,3.12,0,0,0.4104
4,3.12,0,0,0.3863
4,3.12,0,0,0.2906
4,3.12,0,0,0.5583
4,3.12,0,12,0.8036
4,3.12,10,10,0.7655
4,3.12,0,2,0.5147
4,3.12,0,0,0.299
4,3.12,8,0,0.2795
4,3.12,0,0,0.4742
4,3.12,0,0,0.3685
4,3.12,5,0,0.5181
4,3.12,15,0,0.2902
4,3.12,0,0,0.294
4,3.12,0,0,0.3198
1,3.12,0,4,0.7105
1,3.12,0,0,0.3603
1,3.12,0,0,0.3958
1,3.12,7,7,0.844
1,3.12,0,0,0.4485
1,3.12,17,0,0.4756
1,3.12,0,17,0.9741
1,3.12,7,0,0.7363
1,3.12,0,0,0.4268
1,3.12,5,5,1.0421
1,3.12,12,12,0.7272
1,3.12,0,0,0.8642
1,3.12,0,0,0.6538
1,3.12,9,0,0.5236
1,3.12,0,0,0.4745
1,3.12,10,10,0.4486
1,3.12,0,0,0.374
1,3.12,9,9,0.5849
1,3.12,0,0,0.7265
1,3.12,6,0,0.58
2,3.12,2,2,0.493
2,3.12,1,1,0.3006
2,3.12,0,0,0.4541
2,3.12,3,3,0.8517
2,3.12,8,0,0.3108
2,3.12,9,0,0.5726
2,3.12,17,13,0.6263
2,3.12,11,11,0.4245
2,3.12,6,2,0.4943
2,3.12,0,0,0.36
2,3.12,19,9,0.7962
2,3.12,6,0,0.3825
2,3.12,0,11,0.4791
2,3.12,0,0,0.5126
2,3.12,0,0,0.614
2,3.12,19,0,1.282
2,3.12,0,0,0.3843
2,3.12,3,0,0.3677
2,3.12,5,5,0.8235
2,3.12,15,15,0.4679
3,3.12,0,0,0.5657
3,3.12,15,15,0.6283
3,3.12,13,13,0.664
3,3.12,0,14,0.6762
3,3.12,11,0,0.29
