session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,15.0,0.12617,0.11252,1.06092,1,1,0.2394
1,15.0,0.1505,0.02035,1.06297,0,0,0.2785
1,15.0,0.1677,0.15244,0.88615,1,0,0.2532
1,15.0,0.15276,0.06952,1.98833,1,1,0.2647
1,15.0,0.16998,-0.10238,1.39646,0,0,0.2599
1,15.0,0.1834,-0.1265,1.17816,1,1,0.3285
1,15.0,0.16296,-0.0106,1.10504,1,1,0.1858
1,15.0,0.14998,0.2673,1.0426,0,1,0.4805
1,15.0,0.15707,-0.15418,0.93615,0,0,0.3276
1,15.0,0.14946,0.14485,1.00891,1,1,0.2066
1,15.0,0.16165,-0.22444,1.14246,0,0,0.3414
1,15.0,0.18145,-0.12891,1.11241,0,0,0.317
1,15.0,0.18938,0.04392,1.26568,0,0,0.3313
1,15.0,0.18819,-0.09221,1.68968,0,0,0.3224
1,15.0,0.15406,0.10583,1.03307,0,0,0.2385
1,15.0,0.17051,0.06165,0.82094,1,1,0.2893
1,15.0,0.12223,0.1515,0.93287,1,1,0.2642
1,15.0,0.16324,-0.05634,0.88582,1,1,0.2159
1,15.0,0.15117,0.01753,0.89616,0,0,0.4997
1,15.0,0.16345,-0.02325,0.78635,1,1,0.3372
1,15.0,0.12216,-0.00439,0.91957,0,0,0.3963
1,15.0,0.10868,-0.09346,1.02682,0,0,0.2757
1,15.0,0.16634,-0.11429,0.81471,1,1,0.2692
1,15.0,0.15534,0.0642,1.16505,0,0,0.3142
1,15.0,0.19413,0.0177,1.84663,1,1,0.3369
1,15.0,0.17321,0.09474,0.97544,1,1,0.2629
1,15.0,0.20207,-0.09513,1.38369,0,0,0.2638
1,15.0,0.13615,0.0424,1.35798,0,1,0.2789
1,15.0,0.22774,-0.08212,4.63619,0,0,0.2938
1,15.0,0.17447,-0.08516,1.42823,0,0,0.2925
1,15.0,0.14304,-0.03956,0.77441,0,0,0.2123
1,15.0,0.13883,0.17998,1.10082,0,0,0.2589
1,15.0,0.18399,-0.11986,0.77135,1,1,0.1869
1,15.0,0.16286,-0.02047,0.96144,0,0,0.2507
1,15.0,0.18189,-0.05985,1.07375,1,1,0.1953
1,15.0,0.13587,0.00527,1.00504,1,1,0.2327
1,15.0,0.17022,-0.09916,0.88279,1,0,0.1998
1,15.0,0.15471,0.0196,1.1061,1,1,0.197
1,15.0,0.16766,-0.18393,1.27215,0,1,0.2627
1,15.0,0.1504,0.07779,0.95069,0,0,0.3111
1,15.0,0.13372,-0.00229,0.8041,0,1,0.3107
1,15.0,0.15055,0.03174,1.01287,1,1,0.2877
1,15.0,0.14786,0.13021,0.92397,1,1,0.2213
1,15.0,0.20235,0.02182,2.16862,0,0,0.1808
1,15.0,0.14343,-0.01122,0.85694,1,1,0.2051
1,15.0,0.12619,0.00756,0.97319,1,1,0.3876
1,15.0,0.15365,0.0281,1.03527,0,0,0.227
1,15.0,0.14368,-0.1656,0.93707,0,1,0.3304
1,15.0,0.16983,-0.24789,1.10438,1,1,0.1937
1,15.0,0.15508,0.02103,1.48454,0,1,0.3052
1,15.0,0.19804,0.00951,1.0152,1,0,0.369
1,15.0,0.14809,-0.02813,1.19301,0,1,0.2975
1,15.0,0.15981,0.08522,0.92417,0,1,0.3274
1,15.0,0.14113,0.11918,1.26471,1,1,0.2546
